id,role,type,description,size/ratio,style line ref,source,status
thumbnail,deploy thumbnail + OG cover + catalog card,image,Overcooked-2 style floating factory-kitchen island with chibi mechanic carrying battery crate toward smiling robot carts,16:9,STYLE FORMULA v3 (Overcooked 2),Higgsfield nano_banana_2,delivered (variant 2 chosen)
favicon,deploy favicon + catalog icon,image,chunky yellow battery with lightning bolt on mint rounded-square,1:1,STYLE FORMULA v3,Higgsfield nano_banana_2,delivered
music,background music loop,audio (music),upbeat playful cooking-game loop (ukulele/marimba/claps),30s loop,—,Higgsfield sonilo_music,delivered (runtime hotlink)
sfx_pickup,item picked from belt,audio (sfx),crisp square blip rising,~0.1s,—,Web Audio synth,delivered
sfx_pack,mix complete (craft),audio (sfx),ascending triangle arpeggio,~0.3s,—,Web Audio synth,delivered
sfx_ok,exact delivery success,audio (sfx),bright triangle+sine success chime,~0.4s,—,Web Audio synth,delivered
sfx_boom,overload failure,audio (sfx),lowpassed noise burst + falling saw,~0.35s,—,Web Audio synth,delivered
sfx_fail,insufficient / timeout,audio (sfx),descending saw womp,~0.4s,—,Web Audio synth,delivered
sfx_batch,supply dispatched (PEDIR),audio (sfx),conveyor whirr + bell ding,~0.4s,—,Web Audio synth,delivered
sfx_lever,mix lever pull,audio (sfx),two-step square clunk,~0.1s,—,Web Audio synth,delivered
sfx_trash,discard,audio (sfx),lowpassed thunk,~0.2s,—,Web Audio synth,delivered
world_3d,all in-game geometry (hero/robots/double belt/stations/items),procedural 3D (Three.js StandardMaterial primitives),glossy toy-look rounded primitives + badge sprites; fill+rim lights; pastel gradient sky,n/a,STYLE FORMULA v3,procedural-code,delivered
ui_dom,menu / HUD / overlays,DOM + CSS,warm cream panels with thick navy borders,responsive,STYLE FORMULA v3,procedural-code,delivered
NOTE,image-to-3D meshes deferred,—,sandbox egress cannot fetch Higgsfield CDN GLBs and headless env has no WebGL to verify; not shipped to avoid a broken deploy,—,—,—,deferred
